"job","firm","functional_area","type"
"Consulting Roles","Q5","Strategy","Job"
"Senior Manager Treasury Technology","Zanders","Corporate Finance","Job"
"Data Engineer","Digital Power","Data Science","Job"
"Marketing Assistant","ThreeTwoFour","Marketing","Job"
"Manager","CIL Management Consultants","Strategy","Job"
"Networks Consultant","PA Consulting","Unknown","Job"
"Consultant","Change Management Group","Strategy","Job"
"Consultant, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job"
"Principal Strategist","The Upside","Strategy","Job"
"Supply Chain Operations Consultant","BearingPoint","Supply Chain","Job"
"Private Markets Lead - Asset Management","Sionic","Management","Job"
"Salesforce System Administrator","Genioo","Data Science","Job"
"Business Analyst","McKinsey & Company","Strategy","Job"
"Generalist role","Coeus Consulting","Strategy","Job"
"Innovation Consultants: All levels","Ayming","Finance","Job"
"Managing Director, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job"
"Senior Statistical / Data Analyst","Yonder Consulting","Data Science","Job"
"Director - Digital Factory","Capgemini Invent","Digital","Job"
"Lean consultant","Develop Consulting","Lean & SixSigma","Job"
"PH-4808; Platform Engineer - AWS & Terraform","B2E Consulting","Unknown","Job"
"Data Scientist","Digital Power","Data Science","Job"
"Junior Talent Acquisition Specialist","Zanders","Recruitment","Job"
"Cyber | Incident Response - Senior Manager","PwC","Cyber Security","Job"
"Senior Consultant","Enfuse Group","Digital","Job"
"Cyber Security Consultant - Manager","ThreeTwoFour","Project Management","Job"
"Senior DevOps Specialist","Valcon","Software","Job"
"Healthcare consultant","Develop Consulting","Lean & SixSigma","Job"
"Senior Analyst","CIL Management Consultants","Strategy","Job"
"Internships","Simon-Kucher","Pricing","Internship"
"Business Development Manager – R&D Incentives","Ayming","Sales","Job"
"Senior 3D/Motion Designer","Yonder Consulting","Marketing","Job"
"Associate Consultant","Bain & Company","Strategy","Job"
"Consultants and Senior Consultants","Procura Consulting","Project Management","Job"
"Marketing Executive","Genioo","Marketing","Job"
